Time (s),R_Peak_Index,Beat_Type,Confidence
173,173,Normal,0.9982355600588431
307,307,Ventricular Premature,0.9999999724429883
381,381,Normal,0.996772063737079
490,490,Normal,0.9999999766003994
665,665,Normal,0.9999999997174904
849,849,Normal,0.99999999979747
983,983,Normal,0.9999483338466167
1132,1132,Ventricular Premature,0.9999364922996119
1823,1823,Normal,0.6373504948271105
1917,1917,Ventricular Premature,0.9999999994918971
2108,2108,Normal,0.9999522108347616
2170,2170,Normal,0.9999999999993991
2227,2227,Normal,0.9999999999999454
2426,2426,Normal,0.9999999995980913
2512,2512,Normal,0.9999963755127436
2567,2567,Normal,0.9999999999978761
2733,2733,Ventricular Premature,0.9999999999989697
3093,3093,Normal,0.9999999997495252
3180,3180,Normal,0.9999999999999787
3312,3312,Atrial Premature,0.8997307543260109
3367,3367,Normal,0.9999999999999989
3533,3533,Ventricular Premature,0.924456721621515
3895,3895,Normal,0.9999999743888521
4124,4124,Normal,0.9999999999999916
4254,4254,Normal,0.9999999998933695
4402,4402,Ventricular Premature,0.9999999844500049
4553,4553,Normal,0.9999999999999787
4944,4944,Normal,0.9999991558479233
5224,5224,Ventricular Premature,0.9999999931698711
5288,5288,Ventricular Premature,0.9999854406202442
5385,5385,Normal,0.9999999999993687
5818,5818,Normal,1.0
5907,5907,Atrial Premature,0.9664835102910343
6069,6069,Ventricular Premature,0.9999280346048872
6122,6122,Normal,0.9998180585827896
6394,6394,Normal,0.99999999987419
6518,6518,Normal,0.9999999999759814
6730,6730,Normal,0.9999999043672227
6872,6872,Ventricular Premature,0.9998542600198181
6925,6925,Ventricular Premature,0.9997685487294647
6996,6996,Normal,0.9999951127186718
7355,7355,Normal,0.9999999999999949
7510,7510,Normal,0.9999999999980069
7585,7585,Normal,0.5983658366659113
7754,7754,Ventricular Premature,1.0
7856,7856,Atrial Premature,0.4573244775221608
8047,8047,Normal,0.999999999999998
8577,8577,Fusion,0.9084688951933485
8643,8643,Ventricular Premature,0.9999995978210213
9444,9444,Ventricular Premature,0.999946419040357
9569,9569,Normal,0.9999945751748431
9625,9625,Normal,0.9999999999998488
9724,9724,Normal,0.9999858592556844
9775,9775,Normal,0.9999999974056435
9828,9828,Normal,0.9999998431103374
9942,9942,Normal,0.9999999999997433
10011,10011,Normal,0.9999999999999982
10092,10092,Normal,0.9999999999999802
10269,10269,Ventricular Premature,0.9999999999990443
10562,10562,Normal,0.9999999992857413
10759,10759,Normal,0.9999999998858096
10972,10972,Normal,0.9999999680951671
11116,11116,Ventricular Premature,0.9999999999998657
11167,11167,Fusion,0.9159999459386715
11289,11289,Normal,0.9999993915047306
11521,11521,Normal,0.9982520380330322
11667,11667,Normal,0.9999999999975553
11748,11748,Normal,0.9999774594281697
11931,11931,Ventricular Premature,0.9999999998464528
12626,12626,Normal,0.971789831742792
12760,12760,Ventricular Premature,0.999999996933171
13449,13449,Normal,0.972380688239664
13586,13586,Ventricular Premature,0.9999989641890636
13881,13881,Normal,0.9999999999956657
14073,14073,Normal,0.9999999999997187
14277,14277,Normal,0.999921698729202
14409,14409,Ventricular Premature,0.9999999999999214
14526,14526,Normal,0.9999999999988274
14629,14629,Normal,0.9999994425607762
15219,15219,Ventricular Premature,0.9999985148598377
16020,16020,Ventricular Premature,1.0
16081,16081,Ventricular Premature,0.9989050355308516
16361,16361,Normal,1.0
16575,16575,Normal,0.999999752845615
16679,16679,Normal,0.9999999999999969
16745,16745,Fusion,0.6878686238655
16869,16869,Ventricular Premature,0.9999999965849393
17196,17196,Normal,0.9999999996629223
17429,17429,Normal,0.9999999999849098
17562,17562,Normal,0.9985821431680172
17654,17654,Normal,1.0
17735,17735,Ventricular Premature,0.9999981362662879
18482,18482,Ventricular Premature,0.9999855148703453
18546,18546,Ventricular Premature,0.9999897652197565
18867,18867,Normal,0.9999999999998255
19340,19340,Ventricular Premature,0.9999998010393639
19584,19584,Normal,0.9999999999998037
19830,19830,Normal,0.9999999976762342
20038,20038,Normal,0.9993706493749714
20173,20173,Ventricular Premature,0.9999999999999638
20611,20611,Normal,0.999999999996142
20881,20881,Normal,0.9999999001617257
21012,21012,Ventricular Premature,0.9999999999998155
21202,21202,Normal,0.9999999999998761
21841,21841,Ventricular Premature,0.9999999999986393
22075,22075,Normal,0.9999999999875719
22561,22561,Atrial Premature,0.9999212062477308
