R_peaks,P_peaks,Q_peaks,S_peaks,T_peaks
173.0,164.0,170.0,175.0,203.0
307.0,273.0,296.0,314.0,319.0
381.0,374.0,379.0,381.0,437.0
490.0,482.0,489.0,490.0,515.0
665.0,644.0,655.0,675.0,710.0
849.0,815.0,848.0,849.0,856.0
983.0,949.0,973.0,992.0,1014.0
1132.0,1094.0,1121.0,1140.0,1145.0
1823.0,1797.0,1822.0,1823.0,1890.0
1917.0,1890.0,1916.0,1917.0,1940.0
2108.0,2072.0,2107.0,2108.0,2118.0
2170.0,2148.0,2169.0,2170.0,2236.0
2227.0,2203.0,2225.0,2227.0,2236.0
2426.0,2396.0,2416.0,2434.0,2473.0
2512.0,2474.0,2511.0,2514.0,2519.0
2567.0,2545.0,2564.0,2569.0,2588.0
2733.0,2695.0,2721.0,2739.0,2745.0
3093.0,3070.0,3092.0,3094.0,3154.0
3180.0,3154.0,3171.0,3191.0,3246.0
3312.0,3282.0,3311.0,3312.0,3361.0
3367.0,3361.0,3366.0,3368.0,3373.0
3533.0,3505.0,3530.0,3533.0,3558.0
3895.0,3889.0,3894.0,3895.0,3931.0
4124.0,4118.0,4123.0,4124.0,4132.0
4254.0,4239.0,4244.0,4261.0,4315.0
4402.0,4370.0,4391.0,4409.0,4415.0
4553.0,4541.0,4552.0,4553.0,4621.0
4944.0,4938.0,4943.0,4944.0,4982.0
5224.0,5214.0,5223.0,5235.0,5253.0
5288.0,5253.0,5287.0,5288.0,5320.0
5385.0,5342.0,5374.0,5393.0,5464.0
5818.0,5806.0,5817.0,5818.0,5830.0
5907.0,5885.0,5906.0,5907.0,5915.0
6069.0,6029.0,6057.0,6076.0,6082.0
6122.0,6073.0,6110.0,6130.0,6140.0
6394.0,6379.0,6383.0,6404.0,6478.0
6518.0,6480.0,6517.0,6519.0,6527.0
6730.0,6704.0,6728.0,6730.0,6777.0
6872.0,6861.0,6871.0,6873.0,6938.0
6925.0,6879.0,6914.0,6925.0,6938.0
6996.0,6991.0,6995.0,6996.0,7003.0
7355.0,7310.0,7346.0,7364.0,7436.0
7510.0,7486.0,7503.0,7516.0,7539.0
7585.0,7562.0,7584.0,7586.0,7619.0
7754.0,7738.0,7753.0,7765.0,7796.0
7856.0,7850.0,7855.0,7856.0,7864.0
8047.0,8011.0,8046.0,8047.0,8079.0
8577.0,8565.0,8571.0,8588.0,8608.0
8643.0,8608.0,8641.0,8645.0,8677.0
9444.0,9404.0,9432.0,9453.0,9458.0
9569.0,9562.0,9568.0,9569.0,9576.0
9625.0,9606.0,9624.0,9625.0,9633.0
9724.0,9716.0,9722.0,9724.0,9769.0
9775.0,9769.0,9774.0,9775.0,9783.0
9828.0,9821.0,9826.0,9828.0,9881.0
9942.0,9927.0,9933.0,9953.0,9966.0
10011.0,10003.0,10010.0,10011.0,10040.0
10092.0,10063.0,10081.0,10098.0,10122.0
10269.0,10241.0,10267.0,10269.0,10292.0
10562.0,10554.0,10560.0,10565.0,10600.0
10759.0,10718.0,10752.0,10770.0,10825.0
10972.0,10957.0,10963.0,10980.0,11038.0
11116.0,11077.0,11104.0,11124.0,11130.0
11167.0,11130.0,11155.0,11167.0,11191.0
11289.0,11281.0,11286.0,11289.0,11299.0
11521.0,11474.0,11510.0,11532.0,11555.0
11667.0,11630.0,11666.0,11667.0,11698.0
11748.0,11699.0,11736.0,11759.0,11782.0
11931.0,11891.0,11919.0,11939.0,11945.0
12626.0,12615.0,12625.0,12626.0,12658.0
12760.0,12719.0,12749.0,12768.0,12773.0
13449.0,13438.0,13448.0,13452.0,13526.0
13586.0,13547.0,13574.0,13593.0,13599.0
13881.0,13849.0,13872.0,13886.0,13893.0
14073.0,14067.0,14072.0,14074.0,14080.0
14277.0,14264.0,14276.0,14277.0,14351.0
14409.0,14369.0,14397.0,14416.0,14422.0
14526.0,14494.0,14514.0,14535.0,14562.0
14629.0,14623.0,14628.0,14629.0,14637.0
15219.0,15181.0,15208.0,15227.0,15233.0
16020.0,16004.0,16019.0,16031.0,16058.0
16081.0,16058.0,16080.0,16081.0,16115.0
16361.0,16321.0,16352.0,16368.0,16388.0
16575.0,16568.0,16574.0,16575.0,16583.0
16679.0,16657.0,16678.0,16679.0,16723.0
16745.0,16723.0,16738.0,16751.0,16825.0
16869.0,16830.0,16857.0,16869.0,16883.0
17196.0,17171.0,17187.0,17204.0,17214.0
17429.0,17422.0,17427.0,17430.0,17436.0
17562.0,17553.0,17561.0,17562.0,17635.0
17654.0,17648.0,17653.0,17665.0,17697.0
17735.0,17697.0,17734.0,17736.0,17768.0
18482.0,18466.0,18481.0,18493.0,18511.0
18546.0,18511.0,18544.0,18546.0,18581.0
18867.0,18827.0,18859.0,18875.0,18900.0
19340.0,19304.0,19328.0,19347.0,19353.0
19584.0,19535.0,19572.0,19595.0,19664.0
19830.0,19822.0,19829.0,19830.0,19882.0
20038.0,20030.0,20037.0,20038.0,20080.0
20173.0,20127.0,20163.0,20181.0,20187.0
20611.0,20605.0,20610.0,20611.0,20640.0
20881.0,20858.0,20880.0,20881.0,20889.0
21012.0,20965.0,21000.0,21020.0,21025.0
21202.0,21180.0,21201.0,21202.0,21210.0
21841.0,21803.0,21829.0,21848.0,21854.0
22075.0,22041.0,22074.0,22075.0,22085.0
22561.0,22520.0,22550.0,22570.0,22630.0
22684.0,22645.0,22674.0,22691.0,22697.0
23494.0,23465.0,23493.0,23494.0,23518.0
23645.0,23623.0,23636.0,23653.0,23687.0
24224.0,24177.0,24213.0,24231.0,24278.0
24325.0,24278.0,24314.0,24334.0,24339.0
25147.0,25099.0,25135.0,25154.0,25160.0
25857.0,25824.0,25851.0,25866.0,25938.0
25982.0,25938.0,25970.0,25990.0,25996.0
26800.0,26761.0,26789.0,26808.0,26813.0
27038.0,27021.0,27037.0,27038.0,27044.0
27609.0,27570.0,27597.0,27616.0,27621.0
28426.0,28385.0,28416.0,28434.0,28438.0
29264.0,29224.0,29252.0,29272.0,29278.0
30088.0,30060.0,30085.0,30088.0,30110.0
30770.0,30761.0,30769.0,30771.0,30839.0
30908.0,30867.0,30896.0,30915.0,30921.0
31719.0,31670.0,31707.0,31727.0,31732.0
32553.0,32523.0,32551.0,32553.0,32575.0
33373.0,33357.0,33372.0,33384.0,33413.0
34212.0,34176.0,34200.0,34220.0,34225.0
34909.0,34890.0,34908.0,34909.0,34917.0
35042.0,35001.0,35030.0,35050.0,35055.0
35870.0,35830.0,35858.0,35878.0,35883.0
36694.0,36657.0,36683.0,36701.0,36706.0
37130.0,37101.0,37129.0,37130.0,37147.0
37439.0,37401.0,37438.0,37440.0,37511.0
37509.0,37461.0,37497.0,37517.0,37522.0
37794.0,37768.0,37793.0,37794.0,37802.0
38199.0,38179.0,38193.0,38206.0,38229.0
38338.0,38293.0,38326.0,38346.0,38352.0
