Time,Channel_1,Channel_2
0.0,0.17971135414072603,0.20110245086471346
0.004,-0.13485249890789042,-0.12260066514271906
0.008,-0.45353040080737916,-0.44711029710376415
0.012,-0.7452492581570611,-0.7411719574264917
0.016,-0.9467007614903578,-0.944136732469228
0.02,-1.0,-1.0
0.024,-0.8914150328867855,-0.8938394834712899
0.028,-0.663333681236399,-0.6653138495311606
0.032,-0.39248085458077175,-0.38991370597953945
0.036000000000000004,-0.1500978099676551,-0.14092768764116936
0.04,0.025095626846676877,0.03910066116957922
0.044,0.12767707649909132,0.14285818706620845
0.048,0.17428896625768875,0.18813199005118908
0.052000000000000005,0.1914419079619123,0.20368427797556654
0.056,0.20273912057592614,0.21503902568284827
0.06,0.2202489903233904,0.2350468135656718
0.064,0.24472250679924046,0.2632940537556516
0.068,0.2718209064000179,0.29310737144417764
0.07200000000000001,0.298071393070217,0.3194502065645237
0.076,0.3220757810121162,0.34116621260951363
0.08,0.34216702593241966,0.35829351402744636
0.084,0.3565361080961944,0.3704906363011602
0.088,0.36632198326917775,0.3788659008464623
0.092,0.3747160996487644,0.38683967221857607
0.096,0.3815881863565749,0.39611729979877097
0.1,0.3807231850484192,0.40148191173131775
0.10400000000000001,0.3627716817506954,0.39281194731851676
0.108,0.32243694104509935,0.36417956679094243
0.112,0.26446559632681477,0.31895057296444307
0.116,0.2015794514708087,0.26582393715281416
0.12,0.14655079914319158,0.21275477594097714
0.124,0.10567787935932427,0.16484085419151984
0.128,0.07745639000672644,0.12498326454009567
0.132,0.05765527923963365,0.09478065438502603
0.136,0.04524822827688846,0.07510454374503839
0.14,0.041858771022937225,0.06527167405048617
0.14400000000000002,0.047530473701428155,0.062076870321491784
0.148,0.05969343239606695,0.06255020925862875
0.152,0.07604814840756169,0.06812222159381709
0.156,0.09644807115099763,0.08367925816032717
0.16,0.12120780567136147,0.11174325423868248
0.164,0.14977145951432713,0.14889687455536738
0.168,0.18142252603806774,0.1880785366889557
0.17200000000000001,0.21502492846579768,0.22349185622944212
0.176,0.24827318823129652,0.2541837946349741
0.18,0.2785290801877667,0.2828016195913865
0.184,0.3040583192500579,0.31056451991004796
0.188,0.3245553406656132,0.33604785372628077
0.192,0.34103633014619406,0.35838360013395665
0.196,0.3539924342215399,0.3775762251407766
0.2,0.3606206846669451,0.3916750078886091
0.20400000000000001,0.3559566920343047,0.396763180280459
0.20800000000000002,0.33823328353443016,0.3900088207911787
0.212,0.31168214281915785,0.3714951907849655
0.216,0.2831794334414306,0.34359802898852254
0.22,0.25661628421316207,0.3092695687188127
0.224,0.23141155559643267,0.27137037277475917
0.228,0.2058829017783621,0.23302810457909162
0.232,0.17933179770054264,0.19678861866211284
0.23600000000000002,0.15107771698014671,0.16340724975855947
0.24,0.1202095102720333,0.1318379853703875
0.244,0.08714975351780185,0.10030607106098532
0.248,0.055256470530603785,0.068332274280833
0.252,0.029479687649676345,0.03839492006108647
0.256,0.012664232440830814,0.015365029224135851
0.26,0.004594489131083623,0.0036948949184674174
0.264,0.004489123392285466,0.005084413102830698
0.268,0.012811479881225774,0.018978173787512098
0.272,0.030640425484664613,0.044213189178887946
0.276,0.05824352489448947,0.07876431474799173
0.28,0.09410156479804122,0.11891293046306806
0.28400000000000003,0.13452411549064935,0.16051136160802737
0.28800000000000003,0.17422190949246685,0.2002631154852168
0.292,0.20816143274193544,0.23552567967351545
0.296,0.2333872499127565,0.2638281153796014
0.3,0.24881136465669806,0.28220009125726375
0.304,0.25446375990740466,0.28818817138395203
0.308,0.2515708964182588,0.28283175851207565
0.312,0.24227804396376418,0.2710408434801652
0.316,0.22958268407160332,0.25838282403545043
0.32,0.21699324290456912,0.24780929422846776
0.324,0.20704171046036768,0.23900776420911374
0.328,0.2006675162355922,0.23071055937840668
0.332,0.1976331291938096,0.2227851173351767
0.336,0.196591382879457,0.21573818472476236
0.34,0.1955018491186138,0.2101879214517084
0.34400000000000003,0.19263778010993637,0.20743661175858774
0.34800000000000003,0.18729107897167152,0.20821399936689722
0.352,0.1801395767988383,0.2104316872209384
0.356,0.17323414888883382,0.2103089803825826
0.36,0.1693117380900926,0.2057452885338158
0.364,0.17045214378650209,0.19768207769860835
0.368,0.17668083117429423,0.18952017816053868
0.372,0.18576037177857097,0.18564291311414016
0.376,0.1945146923449499,0.18864468874152118
0.38,0.20025551415819098,0.19696813477976205
0.384,0.20098578057713135,0.20591485775154328
0.388,0.19566089939582998,0.21170422009391077
0.392,0.18553826311445598,0.21356195187342353
0.396,0.17454083261465425,0.2119448535419839
0.4,0.1670410630133874,0.2074888241857722
0.404,0.16493084641963018,0.20181567410832524
0.40800000000000003,0.1674239530625743,0.1971777570431439
0.41200000000000003,0.17291514534764185,0.19488687322328135
0.41600000000000004,0.17938788095135827,0.1945519102561326
0.42,0.18447928604880537,0.19474104347686305
0.424,0.18711833225487373,0.19375821847327757
0.428,0.1883027273989084,0.19046678061942157
0.432,0.18959874106660557,0.1857652151064626
0.436,0.19118398788728852,0.18274298356257535
0.44,0.1910268572937095,0.18430220060444813
0.444,0.18597953117132948,0.19072118100380764
0.448,0.1747230808779754,0.19980683594669446
0.452,0.16007442210748457,0.2084062813574683
